ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Cluster
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D,2
462643,Female,Yes,38,Yes,Engineer,1.0,Average,3.0,Cat_4,A,0
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B,1
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,0
462669,Female,Yes,40,Yes,Entertainment,1.0,High,6.0,Cat_6,A,0
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C,0
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C,2
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,2
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D,1
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C,0
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A,1
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D,2
461230,Female,No,19,No,Executive,0.0,Low,2.0,Cat_3,D,2
459573,Male,Yes,70,No,Lawyer,1.0,Low,1.0,Cat_6,A,1
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B,1
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C,2
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D,2
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B,2
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B,0
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C,0
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A,3
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D,2
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A,3
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B,3
461021,Female,Yes,58,No,Executive,1.0,Average,3.0,Cat_3,B,0
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C,0
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A,2
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C,0
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B,1
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C,2
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C,1
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A,1
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D,2
467010,Male,No,26,No,Homemaker,9.0,Low,2.0,Cat_6,D,3
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D,0
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D,2
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D,2
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D,2
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A,3
467442,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,C,0
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B,1
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D,2
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A,3
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,Yes,C,1
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A,3
463156,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,A,0
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B,0
462384,Female,No,29,Yes,Healthcare,1.0,Low,1.0,Cat_7,A,1
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D,2
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A,1
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B,0
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C,0
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A,1
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C,0
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A,1
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B,3
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D,3
462267,Male,No,32,Yes,Doctor,8.0,Low,2.0,Cat_6,D,3
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C,0
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,2.0,Cat_4,D,1
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C,0
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C,3
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D,0
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A,0
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A,0
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,1
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A,0
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A,2
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B,0
467208,Female,Yes,39,Yes,Homemaker,1.0,High,2.0,Cat_6,A,0
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D,3
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A,3
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B,0
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D,2
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C,0
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B,2
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D,1
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A,1
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C,0
466567,Female,No,49,Yes,Unemployed,1.0,Low,1.0,Cat_6,D,1
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C,2
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D,2
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A,3
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B,3
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A,2
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D,2
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C,0
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C,3
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D,3
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D,0
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B,1
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C,0
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C,0
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D,1
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B,1
463845,Male,Yes,58,Yes,Artist,1.0,Average,1.0,Cat_6,D,0
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D,1
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C,0
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C,0
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D,0
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C,0
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B,0
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A,1
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A,0
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B,3
462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D,2
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D,1
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D,1
466466,Female,Yes,19,No,Healthcare,6.0,Low,5.0,Cat_3,D,2
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D,2
459749,Male,Yes,59,Yes,Entertainment,1.0,Low,4.0,Cat_4,A,1
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A,1
467758,Female,Yes,50,Yes,Doctor,1.0,Low,2.0,Cat_6,B,1
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C,1
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D,0
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B,3
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D,1
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C,1
465827,Male,No,27,No,Unemployed,2.0,Low,7.0,Cat_4,D,2
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A,0
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C,0
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B,0
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B,3
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D,2
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D,3
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A,1
466295,Female,Yes,42,No,Engineer,0.0,Low,2.0,Cat_6,A,1
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C,0
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A,1
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C,3
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A,0
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C,0
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D,2
459478,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,A,1
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B,0
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A,2
459390,Female,No,41,No,Artist,1.0,Low,2.0,Cat_6,B,2
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D,1
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D,3
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B,1
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A,0
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C,0
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C,2
465656,Male,Yes,78,No,Lawyer,1.0,Low,2.0,Cat_6,B,1
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B,0
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C,2
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A,3
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B,1
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D,3
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C,0
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A,0
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A,1
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C,0
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B,0
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C,2
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D,3
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C,1
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C,0
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B,0
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C,0
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C,1
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D,2
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A,0
463595,Female,No,32,No,Healthcare,1.0,Low,5.0,Yes,C,2
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C,0
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C,0
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C,3
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D,2
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B,1
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C,0
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B,0
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C,0
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B,1
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B,3
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C,0
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C,0
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D,3
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D,2
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D,2
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A,3
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C,3
462594,Male,Yes,52,No,Entertainment,1.0,Average,5.0,Cat_4,B,0
462206,Female,No,29,Yes,Artist,1.0,Low,1.0,Cat_4,B,1
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C,0
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A,1
460054,Male,Yes,38,Yes,Artist,1.0,Low,2.0,Cat_6,C,1
459576,Female,Yes,85,No,Lawyer,1.0,Low,2.0,Yes,A,1
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A,2
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D,0
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B,1
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B,0
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C,3
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D,3
467539,Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_7,C,0
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C,3
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A,0
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A,0
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B,0
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A,1
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B,0
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C,2
466065,Male,Yes,19,No,Healthcare,9.0,Low,3.0,Cat_3,D,3
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D,2
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A,1
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,1
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D,2
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D,2
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C,1
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B,1
464761,Female,Yes,50,No,Engineer,1.0,Average,4.0,Cat_2,B,0
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B,1
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B,1
461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C,2
460516,Female,Yes,85,No,Lawyer,0.0,High,1.0,Cat_3,C,0
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C,0
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D,2
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C,0
